211,2022-10-19 21:08:53.777899,"(185, 63)"
213,2022-10-19 21:08:53.912897,"(178, 63)"
215,2022-10-19 21:08:54.048900,"(178, 66)"
217,2022-10-19 21:08:54.185414,"(175, 63)"
219,2022-10-19 21:08:54.323414,"(175, 59)"
220,2022-10-19 21:08:55.278414,"(150, 59)"
227,2022-10-19 21:08:56.117105,"(171, 63)"
231,2022-10-19 21:08:56.494626,"(175, 63)"
234,2022-10-19 21:08:56.757331,"(147, 52)"
235,2022-10-19 21:08:56.893330,"(150, 56)"
240,2022-10-19 21:09:02.900555,"(136, 56)"
242,2022-10-19 21:09:03.043556,"(136, 52)"
244,2022-10-19 21:09:03.182557,"(129, 49)"
246,2022-10-19 21:09:03.325570,"(126, 49)"
248,2022-10-19 21:09:03.464293,"(122, 56)"
250,2022-10-19 21:09:03.599257,"(129, 52)"
252,2022-10-19 21:09:03.734258,"(126, 49)"
253,2022-10-19 21:09:03.870258,"(126, 45)"
254,2022-10-19 21:09:04.009256,"(126, 49)"
255,2022-10-19 21:09:04.148268,"(122, 49)"
256,2022-10-19 21:09:04.396267,"(129, 52)"
257,2022-10-19 21:09:04.531267,"(122, 42)"
258,2022-10-19 21:09:04.662268,"(126, 45)"
259,2022-10-19 21:09:04.802787,"(126, 45)"
260,2022-10-19 21:09:04.947788,"(133, 45)"
261,2022-10-19 21:09:08.514388,"(119, 45)"
262,2022-10-19 21:09:08.648385,"(119, 52)"
264,2022-10-19 21:09:08.785387,"(115, 52)"
266,2022-10-19 21:09:08.922904,"(122, 52)"
268,2022-10-19 21:09:09.057907,"(122, 56)"
270,2022-10-19 21:09:09.197904,"(122, 56)"
272,2022-10-19 21:09:09.334906,"(119, 59)"
274,2022-10-19 21:09:09.478424,"(119, 56)"
276,2022-10-19 21:09:09.616457,"(122, 59)"
278,2022-10-19 21:09:09.757269,"(119, 56)"
280,2022-10-19 21:09:09.902269,"(119, 59)"
282,2022-10-19 21:09:10.044271,"(115, 52)"
285,2022-10-19 21:09:10.309271,"(122, 45)"
287,2022-10-19 21:09:11.153281,"(122, 56)"
289,2022-10-19 21:09:11.299282,"(119, 49)"
291,2022-10-19 21:09:11.439297,"(119, 49)"
292,2022-10-19 21:09:11.574299,"(122, 56)"
294,2022-10-19 21:09:11.715274,"(122, 52)"
296,2022-10-19 21:09:11.850273,"(126, 59)"
298,2022-10-19 21:09:11.991288,"(126, 48)"
300,2022-10-19 21:09:12.132288,"(163, 46)"
300,2022-10-19 21:09:12.132288,"(27, 23)"
302,2022-10-19 21:09:12.273288,"(151, 44)"
302,2022-10-19 21:09:12.273288,"(24, 20)"
302,2022-10-19 21:09:12.273288,"(239, 115)"
304,2022-10-19 21:09:12.413287,"(161, 47)"
304,2022-10-19 21:09:12.413287,"(17, 20)"
306,2022-10-19 21:09:12.558289,"(165, 42)"
306,2022-10-19 21:09:12.558289,"(10, 19)"
308,2022-10-19 21:09:12.702288,"(150, 35)"
308,2022-10-19 21:09:12.702288,"(232, 108)"
310,2022-10-19 21:09:12.843287,"(160, 40)"
310,2022-10-19 21:09:12.844288,"(6, 14)"
312,2022-10-19 21:09:12.986290,"(158, 47)"
312,2022-10-19 21:09:12.986290,"(7, 19)"
312,2022-10-19 21:09:12.986290,"(249, 123)"
314,2022-10-19 21:09:13.137286,"(157, 39)"
314,2022-10-19 21:09:13.138287,"(240, 118)"
314,2022-10-19 21:09:13.138287,"(3, 11)"
316,2022-10-19 21:09:13.277286,"(161, 44)"
316,2022-10-19 21:09:13.277286,"(12, 20)"
318,2022-10-19 21:09:13.414289,"(165, 56)"
318,2022-10-19 21:09:13.414289,"(22, 30)"
320,2022-10-19 21:09:13.562291,"(169, 40)"
320,2022-10-19 21:09:13.562291,"(14, 11)"
322,2022-10-19 21:09:13.701287,"(162, 55)"
322,2022-10-19 21:09:13.701287,"(15, 26)"
324,2022-10-19 21:09:13.846286,"(166, 56)"
324,2022-10-19 21:09:13.846286,"(34, 15)"
326,2022-10-19 21:09:13.990288,"(172, 47)"
326,2022-10-19 21:09:13.990288,"(35, 15)"
328,2022-10-19 21:09:14.138286,"(122, 59)"
330,2022-10-19 21:09:14.281287,"(160, 49)"
330,2022-10-19 21:09:14.281287,"(29, 18)"
332,2022-10-19 21:09:14.419286,"(121, 52)"
