211,2022-10-19 21:08:53.776897,"(199, 66)"
213,2022-10-19 21:08:53.912897,"(199, 63)"
215,2022-10-19 21:08:54.048900,"(196, 63)"
217,2022-10-19 21:08:54.185414,"(196, 59)"
219,2022-10-19 21:08:54.323414,"(196, 63)"
220,2022-10-19 21:08:55.278414,"(164, 63)"
227,2022-10-19 21:08:56.117105,"(185, 63)"
231,2022-10-19 21:08:56.494626,"(185, 63)"
234,2022-10-19 21:08:56.756329,"(164, 59)"
235,2022-10-19 21:08:56.893330,"(161, 59)"
240,2022-10-19 21:09:02.900555,"(140, 56)"
242,2022-10-19 21:09:03.043556,"(136, 56)"
244,2022-10-19 21:09:03.182557,"(133, 49)"
246,2022-10-19 21:09:03.325570,"(133, 52)"
248,2022-10-19 21:09:03.464293,"(133, 52)"
250,2022-10-19 21:09:03.599257,"(129, 52)"
252,2022-10-19 21:09:03.734258,"(129, 49)"
253,2022-10-19 21:09:03.870258,"(129, 49)"
254,2022-10-19 21:09:04.009256,"(129, 49)"
255,2022-10-19 21:09:04.148268,"(126, 49)"
256,2022-10-19 21:09:04.396267,"(129, 52)"
257,2022-10-19 21:09:04.531267,"(119, 42)"
258,2022-10-19 21:09:04.662268,"(126, 45)"
259,2022-10-19 21:09:04.802787,"(126, 45)"
260,2022-10-19 21:09:04.947788,"(133, 45)"
261,2022-10-19 21:09:08.514388,"(126, 42)"
262,2022-10-19 21:09:08.648385,"(126, 59)"
264,2022-10-19 21:09:08.785387,"(129, 56)"
266,2022-10-19 21:09:08.921906,"(133, 56)"
268,2022-10-19 21:09:09.057907,"(133, 59)"
270,2022-10-19 21:09:09.196904,"(136, 59)"
272,2022-10-19 21:09:09.334906,"(133, 59)"
274,2022-10-19 21:09:09.478424,"(129, 59)"
276,2022-10-19 21:09:09.616457,"(133, 63)"
278,2022-10-19 21:09:09.757269,"(133, 63)"
280,2022-10-19 21:09:09.902269,"(129, 63)"
282,2022-10-19 21:09:10.044271,"(122, 56)"
285,2022-10-19 21:09:10.309271,"(129, 49)"
287,2022-10-19 21:09:11.153281,"(126, 52)"
289,2022-10-19 21:09:11.299282,"(122, 49)"
